,id,title,original_language,release_date,genre_ids,popularity,vote_average,vote_count
0,616037,Thor: Love and Thunder,en,2022-07-06,"[28, 12, 14]",7709.008,6.8,1803
1,766507,Prey,en,2022-08-02,"[28, 53, 878, 27]",8775.992,8.2,2006
2,507086,Jurassic World Dominion,en,2022-06-01,"[12, 28, 878]",4775.953,7.1,2706
3,438148,Minions: The Rise of Gru,en,2022-06-29,"[10751, 16, 12, 35, 14]",4499.308,7.8,1273
4,361743,Top Gun: Maverick,en,2022-05-24,"[28, 18]",3952.536,8.3,1877
5,756999,The Black Phone,en,2022-06-22,"[27, 53]",2867.32,8.0,1736
6,453395,Doctor Strange in the Multiverse of Madness,en,2022-05-04,"[14, 28, 12]",2165.065,7.5,5198
7,718789,Lightyear,en,2022-06-15,"[16, 878, 12, 28, 10751]",2102.71,7.3,1574
8,725201,The Gray Man,en,2022-07-13,"[28, 53]",1876.637,7.1,1470
9,614934,Elvis,en,2022-06-22,"[10402, 18, 36]",1709.824,7.9,897
10,762975,Purple Hearts,en,2022-07-29,"[10749, 18]",1568.566,8.6,987
11,585511,Luck,en,2022-08-05,"[16, 12, 35, 14]",2406.12,8.3,295
12,759175,The Princess,en,2022-06-16,"[14, 28]",1454.316,7.0,414
13,919355,Dragon Knight,en,2022-03-21,"[14, 12, 28]",1596.207,7.3,19
14,634649,Spider-Man: No Way Home,en,2021-12-15,"[28, 12, 878]",1447.666,8.0,14606
15,961484,Last Seen Alive,en,2022-05-19,"[28, 53]",1388.21,6.6,213
16,854467,Indemnity,en,2022-02-11,"[28, 53, 80]",1256.847,7.0,49
17,924482,The Ledge,en,2022-02-18,[53],1220.867,6.3,77
18,728366,Borrego,en,2022-01-14,"[53, 80]",1211.222,6.0,36
19,675353,Sonic the Hedgehog 2,en,2022-03-30,"[28, 12, 10751, 35]",1330.374,7.7,2752
20,810693,Jujutsu Kaisen 0,ja,2021-12-24,"[16, 28, 14]",1188.587,7.8,244
21,610150,Dragon Ball Super: Super Hero,ja,2022-06-11,"[16, 878, 28]",1235.579,7.6,98
22,894169,Vendetta,en,2022-05-17,"[28, 80, 53]",1030.339,6.5,131
23,718930,Bullet Train,en,2022-07-03,"[28, 35, 80]",1000.125,7.4,236
24,836225,The Exorcism of God,en,2022-03-11,[27],1016.341,7.2,509
25,752623,The Lost City,en,2022-03-24,"[28, 12, 35]",944.245,6.8,1728
26,697799,WarHunt,en,2022-01-21,"[28, 27, 53, 10752, 14]",831.999,5.2,53
27,791348,Constantine: The House of Mystery,en,2022-05-02,"[16, 28, 12]",862.665,6.9,51
28,626735,Dog,en,2022-02-17,"[18, 35]",881.52,7.4,769
29,338953,Fantastic Beasts: The Secrets of Dumbledore,en,2022-04-06,"[14, 12, 28]",859.523,6.9,2506
30,667739,The Man from Toronto,en,2022-06-24,"[28, 35, 53]",826.961,6.5,613
31,639933,The Northman,en,2022-04-07,"[28, 12, 14]",863.557,7.2,2120
32,825672,Asking For It,en,2022-03-04,"[28, 53, 18]",797.937,5.3,15
33,888195,Hot Seat,en,2022-07-01,"[53, 28]",758.815,6.3,38
34,629015,Shut In,en,2022-03-24,"[27, 53]",829.272,7.2,164
35,508947,Turning Red,en,2022-03-10,"[16, 10751, 35, 14]",878.941,7.5,2932
36,1002695,Mirreyes vs. Godínez 2: El retiro,es,2022-07-21,[35],690.383,7.5,51
37,560057,The Sea Beast,en,2022-06-24,"[16, 12, 10751, 14]",753.836,7.7,611
38,526896,Morbius,en,2022-03-30,"[28, 878, 14]",751.687,6.5,2310
39,568124,Encanto,en,2021-11-24,"[16, 35, 10751, 14]",756.083,7.7,7117
40,818397,Memory,en,2022-04-28,"[28, 53, 80]",723.186,7.3,668
